business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
पिंकू मसाला एंड आटा पिसाई केंद्र (Pinku Spice and Flour Grinding Mill),Flour Mill,Flour mill,Flour mill,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,5.0,1.0,"VW7H+Q2G, Bindraban, Bihar 852122",852114,25.863601499999998,86.9265422,ChIJl-pzQwDN7zkRM_hgHS-R7xg,https://www.google.com/maps/place/?q=place_id:ChIJl-pzQwDN7zkRM_hgHS-R7xg,part_399,2026-09-20 20:18:51,1
Mandip Gupta Flour Mill and jenral stor's,Flour Mill,Hindu temple,Hindu temple,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"Sakarpura Betona, Gohumani, Bihar 852113",852114,25.955944,86.8411464,ChIJK1fCyHo17jkR3FVxVyZKuU8,https://www.google.com/maps/place/?q=place_id:ChIJK1fCyHo17jkR3FVxVyZKuU8,part_399,2026-09-20 20:18:51,2
PANKAJ FLOUR MILL,Flour Mill,Florist,Florist,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 90061 16345,N/A,,,"Shop No 1 Hanuman Nagar Chaura, Road, nearby Mandir, Kumar Khand, Madhepura, Bihar 852128",852114,25.968272199999998,86.88168999999999,ChIJu6uHHAE17jkRNNDh5FryNUE,https://www.google.com/maps/place/?q=place_id:ChIJu6uHHAE17jkRNNDh5FryNUE,part_399,2026-09-20 20:18:51,3
राजेश रंगबाज किराना स्टोर रंगबाज चौंक मछबखड़ा,Flour Mill,Flour mill,Flour mill,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,4.0,4.0,"रंगबाज चौक मछबखड़ा, Madhepura, Bihar 852114",852114,25.935610999999998,86.8634501,ChIJgyp5VQ417jkRXawtXGI-hOw,https://www.google.com/maps/place/?q=place_id:ChIJgyp5VQ417jkRXawtXGI-hOw,part_399,2026-09-20 20:18:51,4
आर्यन आटा मील,Flour Mill,Flour mill,Flour mill,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"XW88+684, Belari, Bihar 852114",852114,25.9655004,86.9158167,ChIJ45cXgNPL7zkRGiXN81nhk60,https://www.google.com/maps/place/?q=place_id:ChIJ45cXgNPL7zkRGiXN81nhk60,part_399,2026-09-20 20:18:51,5
"Gohumani, Bihar 852114",Flour Mill,Postal code,Postal code,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",N/A,N/A,,,"Gohumani, Bihar",852114,25.9370539,86.8822445,ChIJ-5oIKuc07jkRCPIoJavqKR4,https://www.google.com/maps/place/?q=place_id:ChIJ-5oIKuc07jkRCPIoJavqKR4,part_399,2026-09-20 20:18:52,6
GOLCHHA FLOUR MILLS PVT. LTD,Flour Mill,Manufacturer,"Manufacturer, Exporter",852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 80 4275 5928,http://golchhaindustries.co.in/,4.7,12.0,"Jumman chowk, Forbesganj, Basathi, Bihar 854312",852114,26.0361788,87.35427609999999,ChIJTf8VziyZ7zkRC1Q2wLKZgV8,https://www.google.com/maps/place/?q=place_id:ChIJTf8VziyZ7zkRC1Q2wLKZgV8,part_399,2026-09-20 20:18:52,7
Jyoti Barmwal Modicare Distributor,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 62061 28119,N/A,4.0,,"Ward 1, Ghoghardiha, Bihar 847402",852114,26.2868037,86.4683768,ChIJq72jqLxj7jkR6SzZCS0YfPo,https://www.google.com/maps/place/?q=place_id:ChIJq72jqLxj7jkR6SzZCS0YfPo,part_399,2026-09-20 20:18:51,8
Maa Vaishnavi Aashirwad,FMCG Distributor,FMCG Goods Wholesaler,FMCG Goods Wholesaler,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 97714 56100,N/A,4.1,,"Brahampur, Rd Number 3, New Jaganpura, Patna, Bihar 800027","New Jaganpura, East Lakshmi Nagar, Ramkrishan Nagar",25.5755068,85.1548036,ChIJr7ctBGFY7TkR8ip0b2rVunc,https://www.google.com/maps/place/?q=place_id:ChIJr7ctBGFY7TkR8ip0b2rVunc,part_399,2026-09-20 20:18:52,9
Himani Pharma,FMCG Distributor,Wholesale drugstore,Wholesale drugstore,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 91179 44966,N/A,5.0,,"Ward-18, East Bypass, Vidyapuri( Jaypalpatti, near Piagio Showroom, Madhepura, Bihar 852113",RB Nagar,25.9135453,86.7918728,ChIJv-nO-EEx7jkRrwTqFn5cQq0,https://www.google.com/maps/place/?q=place_id:ChIJv-nO-EEx7jkRrwTqFn5cQq0,part_399,2026-09-20 20:18:52,10
SANJAY FISH SHOP,Fish Market,General store,General store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 95760 13820,N/A,,,"Chandani Chowk, Murliganj Madhepura Road, Madhepura, Pararia, Bihar 852114",852114,25.9120854,86.8587879,ChIJDxxiItcz7jkRUQdU8siLdcY,https://www.google.com/maps/place/?q=place_id:ChIJDxxiItcz7jkRUQdU8siLdcY,part_399,2026-09-20 20:18:51,11
PGM Fish Aquarium Madhepura & Ornamental Fish,Fish Market,Aquarium shop,Aquarium shop,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 92633 94917,N/A,3.3,6.0,"FISH AQUARIUM, Bhirkhi, Madhepura, Bihar 852113",Bhirkhi,25.9061097,86.7854531,ChIJgSTw0lUx7jkRAz64gcCINTo,https://www.google.com/maps/place/?q=place_id:ChIJgSTw0lUx7jkRAz64gcCINTo,part_399,2026-09-20 20:18:51,12
FISH STORE,Fish Market,Home goods store,Home goods store,852114,Bihar Circle,"East Region, Bhagalpur",Saharsa Division,"Budhma SO, Belari BO, Belo BO",+91 62037 48496,N/A,,,"Madhepura, Bhdol Budhma, Bihar 852114",852114,25.9145061,86.87486439999999,ChIJL05-mHw17jkRrkBQvd7ewbA,https://www.google.com/maps/place/?q=place_id:ChIJL05-mHw17jkRrkBQvd7ewbA,part_399,2026-09-20 20:18:51,13
